depth,time,nodes,prunes,is_optimize
4,0.2050504684448242,352,122,1
4,0.1366364955902099,244,68,1
4,0.2130401134490966,418,107,1
4,0.1264216899871826,207,83,1
4,0.169722318649292,282,114,1
4,0.160968542098999,303,96,1
4,0.1737971305847168,339,127,1
4,0.1485960483551025,359,102,1
4,0.0834677219390869,165,60,1
4,0.1110155582427978,351,79,1
4,0.0989520549774169,218,69,1
4,0.116732120513916,276,60,1
4,0.1356258392333984,349,52,1
4,0.1618163585662841,381,68,1
4,0.1374335289001464,341,73,1
4,0.1105561256408691,326,89,1
4,0.1226165294647216,316,79,1
4,0.1680128574371338,321,82,1
4,0.1158456802368164,383,91,1
4,0.1462805271148681,377,70,1
4,0.1647562980651855,406,77,1
4,0.2010931968688964,491,86,1
4,0.1943330764770507,467,81,1
4,0.2325179576873779,582,101,1
4,0.2294132709503173,467,92,1
5,1.1033546924591064,2322,337,1
5,1.982412338256836,3334,515,1
5,1.835845947265625,3120,492,1
5,0.846510648727417,2082,331,1
5,1.2085342407226562,2710,487,1
5,0.966648817062378,1715,358,1
5,0.4014530181884765,1068,180,1
5,0.7056429386138916,1297,203,1
5,0.6157257556915283,2105,269,1
5,0.363063097000122,1107,175,1
5,0.5600936412811279,1297,214,1
5,0.1752114295959472,462,89,1
5,0.2827892303466797,950,125,1
5,0.3004791736602783,1011,148,1
5,0.4811840057373047,1270,135,1
5,0.3352611064910888,1446,123,1
5,0.5887064933776855,1799,153,1
5,0.2619647979736328,1149,125,1
5,0.3584828376770019,1961,178,1
5,0.2326722145080566,1514,133,1
6,2.597633123397827,2465,763,1
6,2.484017372131348,3593,1057,1
6,4.78044319152832,7176,1887,1
6,4.475396633148193,5646,1380,1
6,6.31354832649231,9242,2092,1
6,2.36793851852417,4519,1141,1
6,2.4166927337646484,3199,911,1
6,3.034543037414551,4963,1392,1
6,5.330697059631348,7541,2343,1
6,3.0956461429595947,4720,1385,1
6,2.0132925510406494,3670,1232,1
6,4.947528123855591,9904,2924,1
6,2.0400195121765137,3478,1196,1
6,2.1966261863708496,3119,1296,1
6,2.628248453140259,4540,1832,1
6,3.4590542316436768,6251,2439,1
6,2.3047361373901367,3348,1406,1
6,1.7024388313293457,3858,1496,1
6,2.3974359035491943,4257,1921,1
6,2.3133370876312256,4794,2211,1
6,1.0489656925201416,3986,1919,1
6,2.3474390506744385,2889,896,1
6,4.947630882263184,5768,1579,1
6,4.186527252197266,5032,1216,1
6,7.475351095199585,10756,2850,1
6,8.47189450263977,12032,3267,1
6,4.144577026367188,4097,1144,1
6,5.592267990112305,7317,2093,1
6,5.180183172225952,6578,1391,1
6,5.375298023223877,6129,1966,1
6,7.81122350692749,9566,2908,1
6,8.65864372253418,11227,3278,1
6,2.8070571422576904,3797,1006,1
6,2.344757318496704,3500,1010,1
6,3.146966457366944,4822,1473,1
1,0.0025055408477783,8,0,0
1,0.0019967555999755,9,0,0
1,0.0019841194152832,8,0,0
1,0.0020942687988281,8,0,0
1,0.0019981861114501,7,0,0
1,0.0010013580322265,7,0,0
1,0.0011219978332519,8,0,0
1,0.0029089450836181,8,0,0
1,0.001094102859497,7,0,0
1,0.0011916160583496,7,0,0
1,0.0009934902191162,6,0,0
1,0.0010871887207031,7,0,0
1,0.0019965171813964,8,0,0
1,0.0009145736694335,6,0,0
1,0.0,5,0,0
1,0.0,5,0,0
1,0.0019114017486572,5,0,0
1,0.0009949207305908,6,0,0
1,0.0,5,0,0
1,0.0,4,0,0
1,0.0010042190551757,6,0,0
1,0.0,5,0,0
1,0.0010783672332763,4,0,0
1,0.0008845329284667,5,0,0
1,0.0009980201721191,3,0,0
1,0.0010981559753417,4,0,0
1,0.0020921230316162,8,0,0
1,0.0020887851715087,9,0,0
1,0.0019476413726806,8,0,0
1,0.0020046234130859,8,0,0
1,0.0012154579162597,10,0,0
1,0.002781867980957,10,0,0
1,0.0020298957824707,8,0,0
1,0.0030121803283691,8,0,0
1,0.0030548572540283,10,0,0
2,0.0303237438201904,62,0,0
2,0.0269951820373535,72,0,0
2,0.0273430347442626,78,0,0
2,0.0213475227355957,56,0,0
