depth,time,nodes,prunes
2,0.007997989654541016,46,0
2,0.008997678756713867,37,0
2,0.012898921966552734,54,0
2,0.008003950119018555,51,0
3,0.12152099609375,468,0
3,0.19398260116577148,654,0
3,0.20949935913085938,537,0
3,0.11854100227355957,358,0
3,0.16507172584533691,468,0
3,0.12596774101257324,330,0
3,0.1791069507598877,496,0
3,0.20326900482177734,651,0
3,0.16175079345703125,594,0
3,0.2682380676269531,876,0
3,0.25200700759887695,841,0
3,0.18699431419372559,699,0
3,0.2789194583892822,1020,0
3,0.23795723915100098,694,0
3,0.13689088821411133,692,0
3,0.26532912254333496,1065,0
3,0.20499897003173828,987,0
3,0.26232385635375977,1410,0
3,0.16250872611999512,637,0
3,0.2233595848083496,882,0
3,0.18163204193115234,853,0
3,0.15589118003845215,657,0
3,0.16273999214172363,652,0
3,0.09264564514160156,391,0
3,0.17893004417419434,746,0
3,0.05556488037109375,218,0
3,0.030734539031982422,132,0
3,0.06250214576721191,253,0
3,0.04557180404663086,197,0
3,0.05453133583068848,240,0
3,0.03598785400390625,190,0
3,0.03432965278625488,191,0
3,0.03356480598449707,191,0
3,0.039284467697143555,190,0
3,0.041584014892578125,207,0
3,0.04950070381164551,281,0
3,0.021999835968017578,174,0
3,0.05647587776184082,287,0
3,0.015075922012329102,61,0
3,0.03199338912963867,138,0
4,1.4254744052886963,3791,0
4,1.46846342086792,4637,0
4,1.550710916519165,5513,0
4,1.7219429016113281,6039,0
4,2.548105239868164,8820,0
4,1.9952266216278076,7143,0
4,3.1414639949798584,10730,0
4,2.1904022693634033,8258,0
4,1.2442257404327393,5048,0
4,0.8524963855743408,3358,0
4,0.802734375,2900,0
4,0.7001652717590332,2356,0
4,0.7087750434875488,2404,0
4,0.6694114208221436,2618,0
4,0.9685797691345215,4326,0
4,0.5804605484008789,2576,0
4,0.43167996406555176,2282,0
4,0.46516990661621094,2386,0
4,0.5160081386566162,3300,0
4,0.3241596221923828,1912,0
4,0.444180965423584,2277,0
4,1.2110862731933594,3791,0
4,1.3495430946350098,4011,0
4,2.1385085582733154,6641,0
4,1.5766069889068604,5290,0
4,1.1851472854614258,3672,0
4,1.2543022632598877,4036,0
4,1.7886812686920166,6400,0
4,1.3202321529388428,4914,0
5,10.429852724075317,30567,0
5,12.108358383178711,42277,0
5,13.353365659713745,34893,0
5,14.241050481796265,53695,0
5,6.996580362319946,23227,0
5,6.9741692543029785,23572,0
5,2.4589099884033203,8446,0
5,3.4921841621398926,13364,0
5,12.03247618675232,44191,0
5,13.351749897003174,60752,0
5,17.11958622932434,77778,0
5,10.238100528717041,48104,0
5,12.176722526550293,64223,0
5,10.549100160598755,50796,0
5,6.63507080078125,35788,0
5,6.368825912475586,34536,0
5,7.755578994750977,42715,0
5,6.336634159088135,38072,0
5,10.302539110183716,62154,0
5,14.127550840377808,83398,0
5,11.13905119895935,62101,0
5,15.834908246994019,99481,0
5,10.181692838668823,55752,0
5,5.954713821411133,34269,0
5,4.418205261230469,25805,0
5,2.749141216278076,18014,0
5,2.7718722820281982,17117,0
5,2.0936059951782227,11565,0
5,2.316363573074341,12654,0
5,3.181816816329956,19125,0
5,1.2589728832244873,7962,0
5,1.6814358234405518,9512,0
6,170.94569301605225,265160,0
6,361.58720541000366,404874,0
6,284.65285325050354,306264,0
6,420.8011291027069,430066,0
6,282.50291562080383,378622,0
6,119.11433863639832,478539,0
6,69.77635025978088,263537,0
6,70.08021593093872,265750,0
6,69.17829847335815,269703,0
6,31.769823789596558,121738,0
6,18.70766305923462,88441,0
6,30.60070538520813,104826,0
6,83.9712917804718,230023,0
6,79.65581011772156,290122,0
6,41.17377257347107,167525,0
6,43.49739074707031,179340,0
6,40.98193097114563,169999,0
6,22.710586309432983,94884,0
6,18.58201766014099,82452,0
6,94.43198418617249,165021,0
6,74.30988502502441,143480,0
6,32.483662605285645,134484,0
6,44.03310585021973,187143,0
6,31.452548503875732,138278,0
6,31.76091170310974,138241,0
